x,y,cm,cm,cm,cm,cm,Coverage,
20,40,44,61,80,73,87,open,
30,40,65,54,56,50,70,open,
40,40,43,63,56,61,65,open,
40,30,70,96,97,58,91,smalltrees,
30,30,56,65,70,65,58,open,
20,30,58,58,51,54,57,open,
10,30,68,66,58,66,83,open,
0,30,61,55,65,69,70,open,
0,20,73,60,66,61,65,open,
10,20,63,69,61,63,61,open,
20,20,75,62,70,68,66,logs,
30,20,62,52,46,48,58,open,
40,20,72,67,65,71,82,smalltrees,
40,10,63,64,75,69,63,open,
30,10,54,55,56,65,59,open,
20,10,72,55,52,69,50,open,
10,10,nan,nan,nan,nan,nan,open,
0,10,65,64,45,60,53,logs,
0,0,61,59,72,64,50,logs,
10,0,11,4,41,46,43,livetrees,
20,0,7,50,10,39,54,deadtrees,
30,0,54,54,52,51,60,logs,
40,0,50,45,61,47,61,logs,
10,40,48,65,49,46,57,open,
0,40,60,61,62,59,50,open,
