x,y,cm,cm,cm,cm,cm,Coverage,
0,20,50,56,53,46,45,open,
0,30,41,35,45,43,42,open,
0,40,54,50,42,47,50,open,
10,40,46,46,39,47,39,lowbrush,
20,40,54,44,43,51,44,open,
30,40,43,54,61,55,50,open,
40,40,40,61,51,59,70,open,
40,30,47,58,49,44,56,open,
30,30,49,54,64,56,43,open,
20,30,44,59,58,53,51,open,
10,30,71,51,57,56,56,open,
0,30,43,51,42,47,44,open,
0,20,50,55,56,56,41,open,
10,20,54,52,40,41,55,open,
20,20,43,43,41,51,44,weatherstation,
30,20,48,53,45,54,53,open,
40,20,51,56,51,52,55,open,
40,10,47,53,42,57,54,smallshrubs,
30,10,57,41,56,59,58,open,
20,10,65,61,44,50,42,smalltrees,
10,10,36,50,43,40,53,smallshrubs,
0,10,42,45,37,67,66,log,
0,0,46,49,45,48,48,log,
10,0,47,46,45,48,48,smalltrees,
20,0,61,60,63,60,54,smalltres,
30,0,43,46,50,42,50,open,
40,0,45,59,56,47,55,open,
