lon_UTM11,lat_UTM11,cm_mid,cm,cm,cm,cm,Tree_Open,Average_cm,Grid,Observed Fire Severity,Dominant Vegetation
273635,4172904,120,118,123,114,107,open,116.4,C,High,Meadow
273635,4172914,81,106,80,117,113,open,99.4,C,High,Meadow
273635,4172924,148,61,124,76,129,open,107.6,C,High,Meadow
273635,4172934,131,124,94,120,108,open,115.4,C,High,Meadow
273635,4172944,111,90,89,105,94,open,97.8,C,High,Meadow
273635,4172954,59,91,99,100,75,open,84.8,C,High,Meadow
273645,4172954,104,119,103,98,108,open,106.4,C,High,Meadow
273645,4172944,109,83,44,109,107,open,90.4,C,High,Meadow
273645,4172934,67,132,117,128,95,open,107.8,C,High,Meadow
273645,4172924,113,93,118,112,90,open,105.2,C,High,Meadow
273645,4172914,116,123,126,122,125,open,122.4,C,High,Meadow
273645,4172904,100,91,86,90,97,open,92.8,C,High,Meadow
273645,4172894,58,87,35,66,51,canopy,59.4,C,Low,Meadow
273645,4172884,0,0,0,0,52,canopy,10.4,C,Low,Meadow
273645,4172874,89,78,80,110,98,open,91,C,High,Meadow
273645,4172864,53,64,99,83,99,open,79.6,C,High,Meadow
273645,4172854,0,0,103,79,68,canopy,50,C,High,Meadow
273655,4172854,110,91,84,102,95,open,96.4,C,High,Meadow
273655,4172864,110,94,73,108,90,open,95,C,High,Meadow
273655,4172874,96,79,95,100,80,open,90,C,High,Meadow
273655,4172884,96,110,100,85,93,open,96.8,C,High,Meadow
273655,4172894,117,95,88,110,95,drip edge,101,C,High,Meadow
273655,4172904,140,132,0,136,120,open,105.6,C,High,Meadow
273655,4172914,105,0,108,125,107,open,89,C,High,Meadow
273655,4172924,112,112,75,35,120,open,90.8,C,High,Meadow
273655,4172934,125,121,102,131,102,open,116.2,C,High,Meadow
273655,4172944,86,140,90,142,140,open,119.6,C,High,Meadow
273655,4172954,115,100,130,120,70,open,107,C,High,Meadow
273665,4172954,142,110,107,125,140,open,124.8,C,High,Meadow
273665,4172944,80,75,67,120,148,open,98,C,High,Meadow
273665,4172934,136,126,116,100,120,open,119.6,C,High,Meadow
273665,4172924,140,142,144,150,85,open,132.2,C,High,Meadow
