"Plot Title: 20947454"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20947454, SEN S/N: 20947454)","Intensity, lum/ft² (LGR S/N: 20947454, SEN S/N: 20947454)","Coupler Attached (LGR S/N: 20947454)","Coupler Detached (LGR S/N: 20947454)","Host Connected (LGR S/N: 20947454)","End Of File (LGR S/N: 20947454)"
1,10/29/20 09:00:00 AM,41.254,480.0,,,,
2,10/29/20 09:15:00 AM,44.742,576.0,,,,
3,10/29/20 09:30:00 AM,47.802,672.0,,,,
4,10/29/20 09:45:00 AM,68.077,5376.0,,,,
5,10/29/20 10:00:00 AM,83.221,6144.0,,,,
6,10/29/20 10:15:00 AM,90.309,7168.0,,,,
7,10/29/20 10:30:00 AM,96.361,8192.0,,,,
8,10/29/20 10:45:00 AM,87.552,8704.0,,,,
9,10/29/20 11:00:00 AM,86.823,9728.0,,,,
10,10/29/20 11:15:00 AM,99.291,1216.0,,,,
11,10/29/20 11:30:00 AM,94.825,7680.0,,,,
12,10/29/20 11:45:00 AM,105.161,864.0,,,,
13,10/29/20 12:00:00 PM,113.362,11776.0,,,,
14,10/29/20 12:15:00 PM,84.474,672.0,,,,
15,10/29/20 12:30:00 PM,77.923,7680.0,,,,
16,10/29/20 12:45:00 PM,80.735,6144.0,,,,
17,10/29/20 01:00:00 PM,74.098,672.0,,,,
18,10/29/20 01:15:00 PM,83.221,11264.0,,,,
19,10/29/20 01:30:00 PM,81.090,800.0,,,,
20,10/29/20 01:45:00 PM,72.028,1280.0,,,,
21,10/29/20 02:00:00 PM,83.579,5376.0,,,,
22,10/29/20 02:15:00 PM,91.240,1344.0,,,,
23,10/29/20 02:30:00 PM,75.139,1088.0,,,,
24,10/29/20 02:45:00 PM,87.552,4096.0,,,,
25,10/29/20 03:00:00 PM,91.612,5632.0,,,,
26,10/29/20 03:15:00 PM,81.975,992.0,,,,
27,10/29/20 03:30:00 PM,71.512,992.0,,,,
28,10/29/20 03:45:00 PM,68.592,864.0,,,,
29,10/29/20 04:00:00 PM,67.564,2304.0,,,,
30,10/29/20 04:15:00 PM,73.407,1024.0,,,,
31,10/29/20 04:30:00 PM,70.137,1920.0,,,,
32,10/29/20 04:45:00 PM,68.421,768.0,,,,
33,10/29/20 05:00:00 PM,69.278,1152.0,,,,
34,10/29/20 05:15:00 PM,63.797,432.0,,,,
35,10/29/20 05:30:00 PM,60.539,336.0,,,,
36,10/29/20 05:45:00 PM,57.958,184.0,,,,
37,10/29/20 06:00:00 PM,55.364,83.0,,,,
38,10/29/20 06:15:00 PM,52.576,6.0,,,,
39,10/29/20 06:30:00 PM,50.466,0.0,,,,
40,10/29/20 06:45:00 PM,49.228,0.0,,,,
41,10/29/20 07:00:00 PM,47.624,0.0,,,,
42,10/29/20 07:15:00 PM,46.369,0.0,,,,
43,10/29/20 07:30:00 PM,45.466,0.0,,,,
44,10/29/20 07:45:00 PM,44.560,0.0,,,,
45,10/29/20 08:00:00 PM,43.831,0.0,,,,
46,10/29/20 08:15:00 PM,42.732,0.0,,,,
47,10/29/20 08:30:00 PM,42.363,0.0,,,,
48,10/29/20 08:45:00 PM,41.994,0.0,,,,
49,10/29/20 09:00:00 PM,41.439,0.0,,,,
50,10/29/20 09:15:00 PM,41.254,0.0,,,,
51,10/29/20 09:30:00 PM,41.067,0.0,,,,
52,10/29/20 09:45:00 PM,40.696,0.0,,,,
53,10/29/20 10:00:00 PM,40.509,0.0,,,,
54,10/29/20 10:15:00 PM,40.134,0.0,,,,
55,10/29/20 10:30:00 PM,40.134,0.0,,,,
56,10/29/20 10:45:00 PM,39.760,0.0,,,,
57,10/29/20 11:00:00 PM,39.760,0.0,,,,
58,10/29/20 11:15:00 PM,39.947,0.0,,,,
59,10/29/20 11:30:00 PM,39.196,0.0,,,,
60,10/29/20 11:45:00 PM,39.007,0.0,,,,
61,10/30/20 12:00:00 AM,38.818,0.0,,,,
62,10/30/20 12:15:00 AM,38.629,0.0,,,,
63,10/30/20 12:30:00 AM,38.629,0.0,,,,
64,10/30/20 12:45:00 AM,38.061,0.0,,,,
65,10/30/20 01:00:00 AM,37.679,0.0,,,,
66,10/30/20 01:15:00 AM,37.488,0.0,,,,
67,10/30/20 01:30:00 AM,37.679,0.0,,,,
68,10/30/20 01:45:00 AM,37.488,0.0,,,,
69,10/30/20 02:00:00 AM,37.488,0.0,,,,
70,10/30/20 02:15:00 AM,37.297,0.0,,,,
71,10/30/20 02:30:00 AM,37.107,0.0,,,,
72,10/30/20 02:45:00 AM,37.107,0.0,,,,
73,10/30/20 03:00:00 AM,36.723,0.0,,,,
74,10/30/20 03:15:00 AM,36.914,0.0,,,,
75,10/30/20 03:30:00 AM,36.723,0.0,,,,
76,10/30/20 03:45:00 AM,36.531,0.0,,,,
77,10/30/20 04:00:00 AM,36.531,0.0,,,,
