"Plot Title:  20601745"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20601745, SEN S/N: 20601745)","RH, % (LGR S/N: 20601745, SEN S/N: 20601745)","Coupler Detached (LGR S/N: 20601745)","Coupler Attached (LGR S/N: 20601745)","Host Connected (LGR S/N: 20601745)","End Of File (LGR S/N: 20601745)"
1,05/07/19 11:19:51 AM,61.633,52.798,,,,
2,05/07/19 11:20:00 AM,,,Logged,,,
3,05/07/19 11:20:51 AM,62.791,52.920,,,,
4,05/07/19 11:21:51 AM,64.632,48.834,,,,
5,05/07/19 11:22:51 AM,66.301,45.068,,,,
6,05/07/19 11:23:51 AM,67.757,42.253,,,,
7,05/07/19 11:24:51 AM,69.256,41.121,,,,
8,05/07/19 11:25:51 AM,70.716,39.000,,,,
9,05/07/19 11:26:51 AM,72.007,37.306,,,,
10,05/07/19 11:27:51 AM,73.213,35.658,,,,
11,05/07/19 11:28:51 AM,74.295,34.255,,,,
12,05/07/19 11:29:51 AM,75.204,32.700,,,,
13,05/07/19 11:30:51 AM,75.985,31.800,,,,
14,05/07/19 11:31:51 AM,76.636,31.125,,,,
15,05/07/19 11:32:51 AM,77.029,30.301,,,,
16,05/07/19 11:33:39 AM,,,,Logged,,
17,05/07/19 11:33:43 AM,,,,,Logged,
18,05/07/19 11:33:51 AM,77.203,32.095,,,,
19,05/07/19 11:33:55 AM,,,,,Logged,
20,05/07/19 11:34:09 AM,,,,,Logged,
21,05/07/19 11:34:20 AM,,,,,Logged,Logged
