,,Site A (Forest),Site A,Site A,Site A,Site A
,,Camera 1,Camera 1,Camera 1,Camera 2.1,Camera 2.2
Date,Time,Snow Depth (mm),Snow depth gap-filled,Snowfall (mm),Snow Depth (mm),Snow Depth (mm)
11/2/15 8:00,8,0,0,0,,
11/2/15 11:00,11,0,0,0,,
11/2/15 14:00,14,0,0,0,,
11/2/15 17:00,17,12.931,12.931,12.931,,
11/3/15 8:00,8,12.931,12.931,0,,
11/3/15 11:00,11,0,0,0,,
11/3/15 14:00,14,0,0,0,,
11/3/15 17:00,17,0,0,0,,
11/4/15 8:00,8,0,0,0,0,0
11/4/15 11:00,11,0,0,0,,0
11/4/15 14:00,14,0,0,0,0,0
11/4/15 17:00,17,0,0,0,0,0
11/5/15 8:00,8,0,0,0,0,0
11/5/15 11:00,11,0,0,0,0,0
11/5/15 14:00,14,0,0,0,0,0
11/5/15 17:00,17,0,0,0,0,0
11/6/15 8:00,8,0,0,0,0,0
11/6/15 11:00,11,0,0,0,,
11/6/15 14:00,14,0,0,0,0,0
11/6/15 17:00,17,0,0,0,0,0
11/7/15 8:00,8,0,0,0,0,0
11/7/15 11:00,11,0,0,0,0,0
11/7/15 14:00,14,0,0,0,0,0
11/7/15 17:00,17,0,0,0,0,60.159
11/8/15 8:00,8,0,0,0,,
11/8/15 11:00,11,0,0,0,,
11/8/15 14:00,14,0,0,0,,
11/8/15 17:00,17,0,0,0,,
11/9/15 8:00,8,38.793,38.793,38.793,,240.63
11/9/15 11:00,11,,38.793,0,62.857,90.238
11/9/15 14:00,14,38.793,38.793,0,62.857,150.4
11/9/15 17:00,17,280.07,280.07,241.28,157.14,240.63
11/10/15 8:00,8,371.38,371.38,91.312,251.43,362.21
11/10/15 11:00,11,,250.35,0,188.57,270.71
11/10/15 14:00,14,129.31,129.31,0,0,572.29
11/10/15 17:00,17,142.24,142.24,12.931,,391.03
11/11/15 8:00,8,129.31,129.31,0,,451.19
11/11/15 11:00,11,,103.45,0,,150.4
11/11/15 14:00,14,,77.585,0,0,0
11/11/15 17:00,17,51.724,51.724,0,0,0
11/12/15 8:00,8,38.793,38.793,0,157.14,150.4
11/12/15 11:00,11,,25.862,0,,0
11/12/15 14:00,14,,12.931,0,0,0
11/12/15 17:00,17,0,0,0,0,0
11/13/15 8:00,8,0,0,0,0,0
11/13/15 11:00,11,,0,0,,0
11/13/15 14:00,14,0,0,0,0,0
11/13/15 17:00,17,0,0,0,0,0
11/14/15 8:00,8,0,0,0,0,0
11/14/15 11:00,11,0,0,0,,
11/14/15 14:00,14,38.793,38.793,38.793,0,0
11/14/15 17:00,17,0,0,0,,
11/15/15 8:00,8,0,0,0,,
11/15/15 11:00,11,0,0,0,,
11/15/15 14:00,14,142.24,142.24,142.24,188.57,300.79
11/15/15 17:00,17,142.24,142.24,0,,330.87
11/16/15 8:00,8,302.89,302.89,160.65,,330.87
11/16/15 11:00,11,,256.96,0,94.286,0
11/16/15 14:00,14,,211.03,0,0,512.22
11/16/15 17:00,17,165.1,165.1,0,,602.34
11/17/15 8:00,8,142.24,142.24,0,,482.2
11/17/15 11:00,11,,96.982,0,62.857,120.32
11/17/15 14:00,14,51.724,51.724,0,0,180.48
11/17/15 17:00,17,0,0,0,0,0
11/18/15 8:00,8,0,0,0,0,0
11/18/15 11:00,11,,0,0,0,0
11/18/15 14:00,14,0,0,0,0,0
11/18/15 17:00,17,0,0,0,0,0
