,,Site C,Site C,Site C,Site C,Site C,Site C
,,Camera 1 (1688),Camera 1,Camera 1,Camera 1686 (2015 for WY2021),Camera 1686,Camera 1686
Date,Time,Snow Depth (mm),Snow depth gap-filled,Snowfall (mm),Snow Depth (mm),Snow depth gap-filled,Snowfall (mm)
11/2/15 8:00,8,0,0,0,,NaN,0
11/2/15 11:00,11,0,0,0,0,0,0
11/2/15 14:00,14,22.618,22.618,22.618,95.914,95.914,95.914
11/2/15 17:00,17,56.414,56.414,33.796,160.39,160.39,64.474
11/3/15 8:00,8,56.414,56.414,0,,171.13,10.747
11/3/15 11:00,11,68.539,68.539,12.125,181.88,181.88,10.747
11/3/15 14:00,14,45.176,45.176,0,138.89,138.89,0
11/3/15 17:00,17,33.908,33.908,0,117.4,117.4,0
11/4/15 8:00,8,,22.606,0,,78.269,0
11/4/15 11:00,11,,11.303,0,,39.134,0
11/4/15 14:00,14,0,0,0,0,0,0
11/4/15 17:00,17,0,0,0,138.89,138.89,138.89
11/5/15 8:00,8,,28.207,28.207,,128.15,0
11/5/15 11:00,11,56.414,56.414,28.207,117.4,117.4,0
11/5/15 14:00,14,45.176,45.176,0,138.89,138.89,21.492
11/5/15 17:00,17,22.618,22.618,0,117.4,117.4,0
11/6/15 8:00,8,,45.579,22.96,,95.916,0
11/6/15 11:00,11,68.539,68.539,22.96,74.43,74.43,0
11/6/15 14:00,14,0,0,0,117.4,117.4,42.973
11/6/15 17:00,17,22.618,22.618,22.618,0,0,0
11/7/15 8:00,8,,39.516,16.898,,26.478,26.478
11/7/15 11:00,11,56.414,56.414,16.898,52.957,52.957,26.478
11/7/15 14:00,14,0,0,0,95.914,95.914,42.957
11/7/15 17:00,17,0,0,0,0,0,0
11/8/15 8:00,8,,22.588,22.588,31.516,31.516,31.516
11/8/15 11:00,11,45.176,45.176,22.588,31.516,31.516,0
11/8/15 14:00,14,22.618,22.618,0,52.957,52.957,21.44
11/8/15 17:00,17,22.618,22.618,0,31.516,31.516,0
11/9/15 8:00,8,197.47,197.47,174.85,203.38,203.38,171.86
11/9/15 11:00,11,176.22,176.22,0,216.5,216.5,13.125
11/9/15 14:00,14,,284.45,108.23,203.38,203.38,0
11/9/15 17:00,17,392.68,392.68,108.23,,222.48,19.1
11/10/15 8:00,8,,376.24,0,,241.58,19.1
11/10/15 11:00,11,,359.8,0,,260.68,19.1
11/10/15 14:00,14,343.36,343.36,0,,279.78,19.1
11/10/15 17:00,17,,339.18,0,298.88,298.88,19.1
11/11/15 8:00,8,,334.99,0,,292.99,0
11/11/15 11:00,11,,330.81,0,,287.11,0
11/11/15 14:00,14,326.63,326.63,0,,281.22,0
11/11/15 17:00,17,,318.06,0,275.34,275.34,0
11/12/15 8:00,8,,309.5,0,251.8,251.8,0
11/12/15 11:00,11,300.93,300.93,0,,243.96,0
11/12/15 14:00,14,282.52,282.52,0,,236.11,0
11/12/15 17:00,17,226.93,226.93,0,228.27,228.27,0
11/13/15 8:00,8,,241.09,14.158,228.27,228.27,0
11/13/15 11:00,11,255.25,255.25,14.158,228.27,228.27,0
11/13/15 14:00,14,236.49,236.49,0,,222.38,0
11/13/15 17:00,17,217.24,217.24,0,216.5,216.5,0
11/14/15 8:00,8,,226.87,9.6253,203.38,203.38,0
11/14/15 11:00,11,236.49,236.49,9.6253,203.38,203.38,0
11/14/15 14:00,14,217.24,217.24,0,,192.63,0
11/14/15 17:00,17,,222.08,4.8446,181.88,181.88,0
11/15/15 8:00,8,226.93,226.93,4.8446,181.88,181.88,0
11/15/15 11:00,11,217.24,217.24,0,181.88,181.88,0
11/15/15 14:00,14,326.63,326.63,109.39,298.88,298.88,117
11/15/15 17:00,17,367.93,367.93,41.303,310.65,310.65,11.768
11/16/15 8:00,8,478.91,478.91,110.98,,340.07,29.421
11/16/15 11:00,11,,474.71,0,,369.49,29.421
11/16/15 14:00,14,470.51,470.51,0,,398.91,29.421
11/16/15 17:00,17,,451.06,0,428.33,428.33,29.421
11/17/15 8:00,8,,431.6,0,,408.72,0
11/17/15 11:00,11,,412.14,0,,389.1,0
11/17/15 14:00,14,392.68,392.68,0,369.49,369.49,0
11/17/15 17:00,17,359.8,359.8,0,345.95,345.95,0
